word,frequency
20,200
refiere,33
comprenden,2
técnicas,11
conocen,7
denominación,4
específica,12
pau,21
arara,18
colgamiento,13
violentos,15
simultánea,8
mente,46
ambos,172
parrilla,29
electricidad,249
sub,19
marino,3
inmersión,28
prolongada,8
agua,231
fría,17
líquidos,4
ingesta,2
obligada,17
excrecencias,1
gama,2
vejaciones,71
sexuales,75
existen,67
persiguen,4
mismos,89
picana,4
golpizas,117
fusilamientos,31
simulados,1
reales,9
terceros,8
presencia,117
resto,51
observación,4
confinamiento,9
solitario,4
tiempos,20
prolongados,22
interrogatorios,344
horas,362
amenazas,191
represalias,8
denegación,1
alimentos,80
etc,57
persiga,1
distinto,17
taxativos,1
castigar,5
aplicar,21
motivo,39
requiere,11
victimario,3
grupo,192
uno,243
funcionarios,137
públicos,56
notar,14
existe,48
conducta,35
pasiva,2
omisión,9
deber,23
actuar,23
serán,11
responsables,34
delito,81
tortu,16
ra,10
empleados,25
pudiendo,19
impedirlo,4
hagan,9
alternativa,3
atañe,2
particularmente,17
jueces,29
funciona,4
rios,11
disyuntiva,2
aceptar,20
rechazar,4
extrajudicial,2
presuntamente,4
obtenida,5
disponen,3
ade,2
legales,45
comprobar,10
trata,56
movimiento,134
expresión,19
mera,4
decir,60
realizar,47
actividades,56
voluntad,20
deseo,4
cuyo,60
efectivo,29
posi,3
bilidad,1
será,25
coartada,1
suspendida,4
privada,12
arbitraria,11
injusta,6
21,129
desde,1063
punto,38
vista,86
consagración,2
encuentra,101
vinculado,10
tam,14
bién,14
adecuado,4
disfrute,1
nivel,39
certeza,16
jurídica,26
civiles,203
reglas,20
mínimas,15
tratamiento,25
reclusos,8
diferencia,16
prohibida,2
circunstancia,65
admite,4
ninguna,71
aplicable,9
siquiera,29
noción,7
legítima,11
defensa,130
autorizada,2
imposición,3
medi,1
restricción,11
ambulatoria,2
legítimamente,4
ciertas,21
habiéndose,29
seguido,21
procedi,3
mientos,6
aseguren,7
ciertos,21
básicos,20
refieren,37
existencia,113
previamente,60
establecidas,15
asociadas,3
conductas,30
descritas,16
anterioridad,29
jurisdiccionales,5
establecidos,11
imparcial,5
juzgamiento,13
imputados,15
desvirtuar,3
pruebas,14
presenten,1
presentar,13
alega,2
ciones,41
favor,34
reclusión,258
respeten,3
particularidades,3
limite,1
estrictamente,7
afectados,124
decisión,41
anterior,156
clasificar,1
relegación,28
arbitrarias,13
ilegales,10
tención,7
atenderse,2
momento,248
inicio,8
exclusivamente,18
ajusta,1
tornarse,1
procedimientos,47
posteriores,84
resguardan,1
somete,1
atenten,3
excedan,1
dispuesto,22
sentencia,87
ilegal,16
trabajó,8
presenta,26
siguientes,214
realiza,7
fundamento,21
22,165
impuesta,7
pese,32
legal,222
éste,108
acorde,5
recho,1
sanciona,7
he,12
impone,8
atentatorias,2
cumplen,5
exigencias,13
prolongue,1
indebidamente,2
terminar,10
transcu,1
rrido,2
tiempo,340
razonable,14
permanencia,71
debiera,11
extenderse,6
salvo,30
existan,7
serios,5
peligro,22
procesado,19
vaya,1
sustraerse,1
continuar,13
entorpecer,1
efectuarse,6
captores,42
infrinjan,1
rechos,2
cumpla,2
formalida,1
des,32
prescritas,1
concepto,23
arbitrariedad,11
anticipado,2
relaciona,5
exclusiva,8
legalidad,59
sino,121
legitimidad,4
estándares,1
obligado,9
atendiera,2
opresión,1
terminado,2
sería,48
inatacable,1
mientras,182
estuviese,2
conformidad,18
contraria,5
opone,2
parecer,18
internamente,3
legítimos,2
justos,1
considerados,12
arbitrarios,7
lado,35
comité,56
clarado,1
cional,14
amplia,12
equiparar,1
contrario,32
interpretarse,1
incluir,10
incorrección,1
imprevisibilidad,2
incluye,16
situación,216
siguen,15
ordenado,4
autoridad,183
administrativa,26
detenidas,221
acusación,9
serían,24
detenciones,309
hechas,19
causas,58
previstas,3
dictada,17
conforme,49
fundamental,35
efectúen,2
respetando,2
23,131
contengan,3
texto,28
reforzarse,1
sostenido,4
mo,8
mento,14
1945,3
connotado,1
jurista,1
alemán,8
filósofo,1
gustav,2
radbruch,2
quien,145
escribió,2
deniegan,1
modo,89
consciente,4
entonces,104
obediencia,4
juristas,5
encontrar,15
valor,22
suficiente,21
negarles,2
siguiente,140
traslado,55
obligatorio,6
residencia,10
habi,4
tual,1
definido,5
administrativas,20
judiciales,41
estimó,22
movimientos,23
severa,5
implica,7
aquel,28
sometidas,31
decretadas,6
cumplidas,2
lugares,239
aislados,47
inhóspitos,1
donde,587
debían,77
procurarse,1
sí,66
mis,76
mos,3
subsistencia,3
permanecían,179
